year,month,origin,destination,number_of_flights
2019,1,EDDM,UUDD,195
2019,1,EDDM,LEMD,242
2019,1,EPWA,LSGG,61
2019,1,EDDH,EGLL,161
2019,1,LFBO,LFPG,290
2019,1,LSZH,EGBB,49
2019,1,EBBR,LSZH,116
2019,1,LTBA,EHAM,158
2019,1,LIMC,EGKK,111
2019,1,LFPG,LIPZ,201
2019,1,LIMC,LIEE,17
2019,1,LEMD,EDDM,219
2019,1,BIKF,EGKK,109
2019,1,LSZH,EDDM,201
2019,1,LIPZ,EGKK,100
2019,1,LFPG,EGLL,299
2019,1,LSZH,LFPG,264
2019,1,LSZH,LKPR,93
2019,1,EGCC,EGLL,168
2019,1,EGLL,EDDF,387
2019,1,LEMD,EHAM,189
2019,1,LPPT,LEMD,464
2019,1,LIPE,LEMD,67
2019,1,LEMG,EHEH,45
2019,1,UUEE,EYVI,62
2019,1,LTBA,ESSA,92
2019,1,LSZH,EBBR,20
2019,1,LSZH,LSGG,291
2019,1,ESGG,LEMG,32
2019,1,LSZH,LIPZ,94
2019,1,LFPG,EGCC,106
2019,1,EGKK,LSGG,312
2019,1,EGLL,EIDW,384
2019,1,EGGW,LIMC,41
2019,1,LTBA,LSGG,84
2019,1,ESSA,EGCC,36
2019,1,EHAM,LEMD,247
2019,1,LFPG,LSZH,253
2019,1,LSZH,LIMC,121
2019,1,LGAV,EDDM,103
2019,1,UUEE,LROP,58
2019,1,EBBR,LEMD,257
2019,1,EGCC,EDDM,83
2019,1,EGKK,LBSF,48
2019,1,ESSA,EGLL,220
2019,1,EGLL,LFPG,314
2019,1,EDDB,LIBD,15
2019,1,BIKF,EKCH,101
2019,1,LEMD,LEMG,95
2019,1,EGAA,EGKK,121
2019,1,UUEE,EHAM,142
2019,1,LEMD,LFPO,324
2019,1,EGLL,EDDM,342
2019,1,EGPH,LSGG,50
2019,1,EHEH,ESSA,7
2019,1,ENGM,EGLL,122
2019,1,LPPT,LFPO,271
2019,1,LTBA,LIRF,119
2019,1,EGLL,ESSA,259
2019,1,LIRF,LEMD,326
2019,1,LEMD,EDDL,135
2019,1,LROP,EGLL,66
2019,1,EGKK,LIRF,157
2019,1,EPWA,EDDL,52
2019,1,LTBA,LFLL,60
2019,1,LFPG,EHAM,265
2019,1,EDDL,LEMD,141
2019,1,EGLL,LEMD,342
2019,1,ULLI,LOWW,31
2019,1,UUEE,LJLJ,34
2019,1,ENGM,ESSA,532
2019,1,EGKK,LPFR,67
2019,1,EGCC,LEMG,72
2019,1,LTBA,ESGG,53
2019,1,ENGM,EKCH,500
2019,1,EGPH,LIME,17
2019,1,EGPF,EGLL,182
2019,1,LTBA,LEMG,52
2019,1,EDDL,LEMG,57
2019,1,LFPO,LEMG,28
2019,1,EDDM,EGLL,338
2019,1,EPWA,EGLL,118
2019,1,EHAM,EDDM,224
2019,1,UUWW,EINN,4
2019,1,LTBA,LOWW,103
2019,1,LFPG,EDDV,46
2019,1,EGLL,EGPF,189
2019,1,EBBR,EGLL,186
2019,1,LEMD,EGKK,227
2019,1,LTBA,EDDK,103
2019,1,EGSS,LIMF,33
2019,1,LIPZ,LEMD,149
2019,1,EPWA,LSZH,132
2019,1,ENGM,EDDB,80
2019,1,EGGW,LFBD,14
2019,1,LEMD,LFBO,158
2019,1,UUEE,EDDS,58
2019,1,EGSS,LEMD,106
2019,1,LGAV,LBSF,55
2019,1,LTBA,EKCH,85
2019,1,LFPO,LIRN,7
2019,1,EGPF,EGAA,38
2019,1,EIDW,EDDM,20
2019,1,EPWA,EDDF,168
2019,1,LGAV,EGKK,34
2019,1,LTBA,EETN,29
2019,1,EGKK,LEMG,133
2019,1,EBBR,LIRF,149
2019,1,EGCC,EDDB,68
2019,1,EGPH,EGGW,79
2019,1,EGSS,LFML,26
2019,1,LTBA,EYVI,19
2019,1,EGSS,EHAM,92
2019,1,BIKF,EIDW,53
2019,1,UUEE,EBBR,19
2019,1,EGLL,EKCH,242
2019,1,UUDD,LPPT,24
2019,1,LHBP,EGLL,66
2019,1,LROP,EGSS,51
2019,1,LEMD,LEAL,81
2019,1,EGLL,EHAM,301
2019,1,LFBO,EGLL,75
2019,1,LPPT,LIRF,113
2019,1,EDDF,LEMD,314
2019,1,EGAA,EGCC,138
2019,1,LPPT,LIPZ,37
2019,1,EGLL,LSZH,276
2019,1,LBSF,LGAV,42
2019,1,LTBA,LJLJ,40
2019,1,EGSS,LSGG,67
2019,1,LFBO,LPFR,9
2019,1,EGPF,EGGW,57
2019,1,EGGW,LIRF,15
2019,1,LEMD,LIPZ,147
2019,1,LGAV,LIMC,59
2019,1,LPPT,EDDF,176
2019,1,BIKF,LIMC,3
2019,1,LEMD,LIMC,127
2019,1,EPGD,LIME,22
2019,1,EDDL,LTBA,72
2019,1,EDDF,LSZH,226
2019,1,EHAM,EKCH,269
2019,1,EGPH,EGSS,239
2019,1,EDDB,LEBL,27
2019,1,EGKK,LEBL,103
2019,1,LIEE,LIRF,78
2019,1,EDDH,LIMC,49
2019,1,EGCC,LBSF,26
2019,1,LGAV,LPPT,13
2019,1,EHEH,LEAL,40
2019,1,ESGG,ESSA,337
2019,1,EDDV,EGLL,48
2019,1,EGGW,EDDB,42
2019,1,LFPG,LEMD,308
2019,1,EGCC,EKCH,61
2019,1,LGAV,EHAM,69
2019,1,LPPT,EGKK,82
2019,1,EGLL,EDDH,168
2019,1,LGAV,EFHK,3
2019,1,EDDF,EKCH,217
2019,1,EGGW,LFPG,65
2019,1,EGAA,EGGW,88
2019,1,EGLL,LSGG,388
2019,1,LIRF,LIEE,208
2019,1,EGCC,LFPG,102
2019,1,EGLL,LOWW,172
2019,1,UUEE,LBSF,67
2019,1,EKCH,LHBP,42
2019,1,EPGD,EGBB,8
2019,1,EHAM,EGCC,195
2019,1,EDDM,EDDV,234
2019,1,EGKK,LIMC,111
2019,1,LGAV,ESSA,24
2019,1,LTBA,EGGW,12
2019,1,UUEE,LSGG,72
2019,1,EDDM,EDDH,601
2019,1,EGCC,EHAM,141
2019,1,UUEE,LIPZ,62
2019,1,EDDM,LIMC,180
2019,1,EGLL,EDDL,199
2019,1,EGKK,EKCH,173
2019,1,EGSS,LJLJ,17
2019,1,LGAV,EGCC,13
2019,1,EGPH,EGLL,182
2019,1,LIRF,EGLL,217
2019,1,EHAM,EGPH,115
2019,1,EFHK,LPPT,46
2019,1,EDDM,LOWW,199
2019,1,EDDM,EDDL,578
2019,1,LIRF,ESSA,37
2019,1,LPPT,EGCC,70
2019,1,EGKK,LSZH,38
2019,1,LIRF,LFPG,332
2019,1,EFHK,LOWW,54
2019,1,EKCH,BIKF,104
2019,1,LIMC,EGLL,80
2019,1,EGSS,LZIB,43
2019,1,EDDK,EDDM,408
2019,1,EDDB,ELLX,7
2019,1,LGAV,LEMD,42
2019,1,LHBP,EPWA,45
2019,1,LFPG,LFBD,189
2019,1,EDDF,EDDM,358
2019,1,ENGM,EETN,22
2019,1,ESSA,EHAM,170
2019,1,LIRF,LGAV,116
2019,1,EGAA,EGBB,63
2019,1,EDDS,EDDF,135
2019,1,EGLL,EGCC,174
2019,1,LFBD,LSGG,51
2019,1,LMML,LIRF,30
2019,1,EHAM,EGBB,85
2019,1,ENGM,LIRF,18
2019,1,LGAV,LHBP,28
2019,1,ULLI,EDDB,63
2019,1,BIKF,EDDM,31
2019,1,LPPT,EGLL,212
2019,1,EGSS,LIRN,5
2019,1,EPWA,LOWW,95
2019,1,EHAM,ESSA,208
2019,1,LIRF,EPWA,51
2019,1,EGGW,LEMD,24
2019,1,LIME,LEMD,73
2019,1,LFPG,EDDF,203
2019,1,LFPO,LFML,269
2019,1,LEMG,EGKK,153
2019,1,EGCC,LPPT,73
2019,1,LSGG,LEMG,21
2019,1,EGLL,LKPR,99
2019,1,UUEE,LSZH,50
2019,1,EGPF,EGSS,65
2019,1,LPPT,EDDH,62
2019,1,EGPH,EKCH,32
2019,1,EKCH,LIMC,76
2019,1,ESSA,LIMC,21
2019,1,EGPH,LKPR,25
2019,1,EKCH,LPFR,11
2019,1,EDDM,LGAV,85
2019,1,UUEE,EDDH,62
2019,1,EDDN,EYVI,8
2019,1,EGLL,LFML,47
2019,1,EHAM,LJLJ,12
2019,1,EBBR,LSGG,191
2019,1,EDDL,LPFR,20
2019,1,EDDM,EGBB,69
2019,1,EINN,EGLL,71
2019,1,EGLL,EDDS,95
2019,1,LDZA,EDDM,56
2019,1,EGLL,LIRF,229
2019,1,EGGW,LEAL,34
2019,1,LSGG,LROP,11
2019,1,LGAV,EDDS,14
2019,1,EGKK,LMML,59
2019,1,ULLI,EDDL,31
2019,1,LIRF,EHAM,191
2019,1,EGSS,LHBP,77
2019,1,EGGW,LGAV,38
2019,1,LOWW,LIMC,141
2019,1,LGAV,LIME,45
2019,1,BIKF,ESSA,38
2019,1,LPPT,LIMC,108
2019,1,LFLL,LFBD,150
2019,1,EGKK,EGPF,150
2019,1,EDDM,EIDW,106
2019,1,LEMD,LSZH,257
2019,1,EDDF,LHBP,89
2019,1,BIKF,EGPF,26
2019,1,EGGW,LPPT,69
2019,1,EKCH,LIPZ,3
2019,1,LFPG,LEMG,70
2019,1,EGLL,EKBI,30
2019,1,ENGM,LFPG,89
2019,1,EDDF,LFML,48
2019,1,LIRF,EDDF,172
2019,1,ULLI,LIRF,31
2019,1,EGKK,LEMD,249
2019,1,LIRF,LSZH,146
